pixelID x y
723 15.0 7.0
724 16.0 7.0
725 17.0 7.0
726 18.0 7.0
727 19.0 7.0
728 20.0 7.0
729 21.0 7.0
730 22.0 7.0
731 23.0 7.0
732 24.0 7.0
733 25.0 7.0
734 26.0 7.0
735 27.0 7.0
736 28.0 7.0
737 29.0 7.0
738 30.0 7.0
739 31.0 7.0
740 32.0 7.0
741 33.0 7.0
742 34.0 7.0
743 35.0 7.0
744 36.0 7.0
745 37.0 7.0
746 38.0 7.0
747 39.0 7.0
748 40.0 7.0
749 41.0 7.0
750 42.0 7.0
751 43.0 7.0
752 44.0 7.0
753 45.0 7.0
754 46.0 7.0
755 47.0 7.0
756 48.0 7.0
757 49.0 7.0
758 50.0 7.0
759 -1.0 7.0
760 -2.0 7.0
761 -3.0 7.0
762 -4.0 7.0
763 -5.0 7.0
764 -6.0 7.0
765 -7.0 7.0
766 -8.0 7.0
767 -9.0 7.0
768 -10.0 7.0
769 -11.0 7.0
770 -12.0 7.0
771 -13.0 7.0
772 -14.0 7.0
773 -15.0 7.0
774 -16.0 7.0
775 -17.0 7.0
776 -18.0 7.0
777 -19.0 7.0
778 -20.0 7.0
779 -21.0 7.0
780 -22.0 7.0
781 -23.0 7.0
782 -24.0 7.0
783 -25.0 7.0
784 -26.0 7.0
785 -27.0 7.0
786 -28.0 7.0
787 -29.0 7.0
788 -30.0 7.0
789 -31.0 7.0
790 -32.0 7.0
791 -33.0 7.0
792 -34.0 7.0
793 -35.0 7.0
794 -36.0 7.0
795 -37.0 7.0
796 -38.0 7.0
797 -39.0 7.0
798 -40.0 7.0
799 -41.0 7.0
800 -42.0 7.0
801 -43.0 7.0
802 -44.0 7.0
803 -45.0 7.0
804 -46.0 7.0
805 -47.0 7.0
806 -48.0 7.0
807 -49.0 7.0
808 -50.0 7.0
809 0 8.0
